Type,Amount,WaitTimeNanos
Producer,34367,65967625
Consumer,57121,6345209
Consumer,21352,167
Producer,37281,65965583
Producer,39588,65949250
Consumer,64620,6341334
Consumer,5481,84
Producer,19073,65948125
Producer,30415,65926709
Consumer,70356,6304416
Producer,35128,65937041
Consumer,18237,0
Producer,15437,66106042
Consumer,29807,0
Producer,51249,66129625
Consumer,48847,166
Producer,1014,66129167
Consumer,9205,0
Producer,12944,66407542
Consumer,8996,0
Producer,69608,66779417
Consumer,47328,6630583
Producer,28205,66782708
Consumer,18759,83
Producer,98320,66783458
Consumer,43410,26249583
Producer,37172,66769542
Consumer,2794,208
Consumer,80141,6513625
Producer,73116,66747000
Consumer,68984,166
Producer,88301,66726291
Consumer,75545,6527042
Producer,86997,66739625
Consumer,78844,19214500
Producer,72423,66719916
Consumer,92795,19155458
Producer,57379,66703958
Consumer,75830,6408625
Producer,55651,66687125
Consumer,72878,84
Producer,26593,66689291
Producer,55601,66743458
Consumer,69333,18298666
Producer,45426,66752875
Consumer,29228,83
Producer,48947,66928208
Consumer,84813,83
Producer,91115,66921667
Consumer,43052,5586667
Producer,3630,66908834
Consumer,30302,83
Producer,54415,66914458
Consumer,87993,24694334
Producer,37911,66901584
Consumer,9991,0
Producer,94149,67055959
Consumer,99187,17992625
Producer,8143,67045750
Consumer,7278,0
Producer,8762,67250458
Consumer,22374,83
Producer,75155,67359542
Consumer,47608,5842333
Producer,2434,67345375
Consumer,23291,84
Producer,48262,67483083
Consumer,46987,11622042
Producer,25541,67467125
Consumer,1811,167
Producer,29410,67514500
Consumer,67206,11333500
Producer,75959,67513959
Consumer,69542,83
Producer,96141,67607292
Consumer,85709,11188792
Producer,46800,67595333
Consumer,34988,83
Producer,59826,67622042
Consumer,14770,125
Producer,68465,67618584
Consumer,90390,17585125
Producer,98931,67611417
Consumer,66103,17556209
Producer,97068,67617000
Consumer,91405,10446625
Producer,445,67618125
Consumer,65000,4568750
Producer,58655,67654625
Consumer,49189,4575833
Producer,95620,67657625
Consumer,78324,4597917
Producer,38534,67690708
Consumer,64387,4613375
Producer,68995,67690666
Consumer,94717,4616791
Producer,59465,67690083
Consumer,28631,0
Producer,67467,67866208
Consumer,21608,4805333
Consumer,19522,41
Producer,81279,67846500
Consumer,80883,4836791
Producer,70425,67863042
Consumer,67996,4869959
Producer,26749,67886334
Consumer,65035,4849500
Producer,81406,67888875
Consumer,60549,11041166
Producer,76515,67914417
Consumer,54633,4942500
Producer,96444,67950125
Consumer,73773,4949083
Producer,20096,67953125
Consumer,91015,4957791
Producer,26031,67955125
Consumer,32976,84
Producer,33659,68095833
Consumer,6865,83
Producer,55274,68220208
Consumer,96578,5164917
Producer,59910,68199208
Consumer,60118,41
Producer,60848,68209125
Consumer,1356,0
Producer,667,68356583
Consumer,48009,42
Producer,35454,68353917
Consumer,11562,83
Producer,194,68358625
Consumer,21045,41
Producer,63322,68367125
Consumer,78053,4712334
Producer,38789,68432083
Consumer,33915,11130250
Producer,46731,68422208
Consumer,2242,0
Producer,41568,68441166
Consumer,63706,10972875
Producer,2577,68495916
Consumer,23470,4758500
Producer,57173,68502375
Consumer,22050,42
Producer,25728,68478709
Consumer,15061,125
Producer,84333,68500625
Consumer,88872,24356792
Producer,55639,68512917
Consumer,60944,4690125
Producer,50232,68499083
Consumer,28951,42
Producer,21077,68670791
Consumer,82445,35462167
Producer,48161,68659792
Consumer,36639,4589792
Producer,68952,68662209
Consumer,40340,23671333
Producer,68038,68673750
Consumer,65605,4596875
Producer,84269,68676667
Consumer,84606,4592667
Producer,42302,68657625
Consumer,56154,4580584
Producer,63918,68644584
Consumer,78722,4578417
Producer,42169,68641208
Consumer,51119,0
Producer,35172,68901250
Consumer,22140,84
Producer,1185,69054708
Consumer,14842,83
Producer,85743,69086167
Consumer,49673,4978375
Producer,90691,69084459
Consumer,14905,167
Consumer,93625,4981000
Producer,54438,69103666
Producer,96823,69094709
Consumer,21305,5055791
Consumer,99211,35645833
Producer,85944,69137708
Producer,42896,69123625
Consumer,73091,17712375
Consumer,74917,42
Producer,78968,69130500
Producer,1710,69113250
Consumer,28371,42
Consumer,68210,10209834
Producer,10627,69113708
Consumer,24941,84
Producer,56872,69088167
Producer,41151,69078042
Consumer,69639,4483542
Producer,3654,69075125
Consumer,31687,0
Producer,39025,69217458
Consumer,22339,0
Producer,51191,69280917
Consumer,65275,4706875
Producer,97768,69284916
Consumer,55585,4715667
Producer,67507,69311417
Consumer,77291,4747125
Producer,79736,69305083
Consumer,79322,4757167
Producer,35719,69297375
Consumer,47349,4760833
Producer,40237,69289542
Consumer,29199,0
Producer,97796,69517292
Consumer,39460,4961584
Consumer,42268,208
Producer,85756,69514709
Producer,5982,69493583
Consumer,65191,22934750
Consumer,36376,10517625
Producer,64334,69520083
Producer,80996,69504250
Consumer,51320,4671291
Consumer,78265,22896083
Producer,93602,69508000
Consumer,78374,15810541
Consumer,69182,209
Producer,4545,69471291
Producer,76487,69472083
Consumer,72293,4552666
Producer,26714,69472208
Consumer,28929,0
Producer,11278,69519959
Consumer,17252,41
Producer,5894,69610833
Consumer,12697,84
Producer,81223,69639042
Consumer,17753,42
Producer,28803,69635792
Consumer,7685,208
Consumer,67200,8680375
Producer,83523,69634125
Consumer,44848,42
Producer,14387,69614708
Producer,14704,69613417
Consumer,65074,3602792
Producer,8902,69628583
Consumer,30118,0
Producer,43298,70040125
Consumer,34016,42
Producer,16151,70037625
Consumer,26879,41
Producer,58058,70339417
Consumer,8043,42
Producer,86665,70359250
Consumer,96360,4233833
Producer,48415,70340500
Consumer,2938,167
Producer,44876,70332958
Consumer,34212,84
Consumer,57224,15231250
Producer,33868,70318708
Producer,23774,70296875
Consumer,97432,83
Producer,91767,70287667
Consumer,49978,41
Producer,7358,70282667
Consumer,2118,84
Producer,31834,70584125
Consumer,70993,8879292
Producer,15323,70577250
Consumer,2560,83
Producer,94672,70746125
Consumer,85961,4103958
Producer,47754,70743792
Consumer,63935,8553709
Producer,69455,70803250
Consumer,47947,42
Producer,93674,70826167
Consumer,64103,3829917
Consumer,26310,41
Producer,12330,70827458
Producer,82540,69694583
Consumer,54334,8632000
Consumer,60678,3818584
Producer,26607,69722541
Producer,66485,69730792
Consumer,52447,3775709
Producer,33484,69739875
Consumer,62383,0
Producer,90282,69773834
Consumer,86812,3623709
Producer,8222,69776875
Consumer,38472,42
Producer,70509,69806834
Consumer,8543,125
Producer,92024,69818042
Consumer,89365,26535584
Producer,32940,69819708
Consumer,99545,19499375
Producer,70267,69816542
Consumer,1510,83
Producer,73224,69925041
Consumer,77430,3618500
Producer,59549,69931750
Consumer,57979,26049708
Producer,18766,69915625
Consumer,38640,125
Producer,90739,69898041
Consumer,63132,3590791
Producer,95487,69891000
Consumer,51544,3562667
Producer,54780,69897833
Consumer,80837,8182208
Producer,90775,69890416
Consumer,32811,2983792
Consumer,92371,0
Producer,60124,70182875
Consumer,89030,13619833
Producer,88259,70164542
Consumer,97715,83
Producer,39305,70170959
Consumer,10441,84
Producer,99945,70162833
Consumer,82417,3350334
Producer,93753,70155833
Consumer,73495,18869417
Producer,58894,70185125
Consumer,70674,3367416
Producer,92371,70195708
Consumer,35629,3376833
Producer,14066,70198250
Consumer,98234,3374166
Producer,22106,70195667
Consumer,52540,3407584
Producer,32695,70220042
Consumer,40874,0
Producer,33329,70275333
Consumer,31451,42
Producer,81422,70281333
Consumer,76469,12302875
Producer,2741,70270250
Consumer,5471,42
Producer,63424,70523958
Consumer,48035,42
Producer,31753,70527625
Consumer,51143,42
Producer,4860,70582917
Consumer,11612,0
Producer,33268,70610833
Consumer,24113,0
Producer,59918,70616000
Consumer,59326,3464666
Producer,50524,70610625
Consumer,34463,0
Producer,66088,70851417
Consumer,64781,3700958
Producer,58081,70860709
Consumer,42982,3703334
Producer,65474,70861791
Consumer,86795,3702333
Producer,9782,70858208
Consumer,8445,0
Producer,95165,70892209
Consumer,71796,7581167
Producer,72065,70903625
Consumer,59142,3490667
Producer,90976,70937625
Consumer,82291,7664750
Producer,46691,70940958
Consumer,68631,3481750
Producer,91023,70962250
Consumer,90388,31840333
Producer,85881,70952833
Consumer,85797,12331208
Producer,35302,70945667
Consumer,70743,18451292
Consumer,9576,42
Producer,8903,70942750
Producer,47109,70923083
Consumer,50147,42
Producer,74150,70949208
Consumer,41805,83
Producer,34110,70954042
Consumer,2689,42
Producer,59153,70964416
Consumer,79886,3170584
Producer,39121,70949625
Consumer,54992,42
Consumer,9542,42
Producer,75220,71075708
Producer,1220,71053792
Consumer,16968,125
Consumer,26126,3309708
Producer,48590,71048708
Consumer,15337,84
Producer,229,71025875
Consumer,85715,3243083
Producer,49220,71021125
Consumer,1823,41
Producer,65583,71005833
Consumer,92607,3093250
Producer,37259,70988833
Producer,43271,70977291
Consumer,46362,125
Consumer,41006,2945500
Producer,29667,70992708
Producer,61233,70974084
Consumer,99743,17752750
Producer,1562,70966708
Consumer,7904,42
Producer,89126,71942875
Consumer,74233,3685917
Consumer,19376,208
Producer,23177,71972917
Producer,97617,71948959
Consumer,90201,42
Consumer,29908,83
Producer,70582,71959292
Producer,25781,71937375
Consumer,19206,42
Consumer,69599,10985083
Producer,21671,71923084
Producer,23371,71899875
Consumer,26495,42
Producer,75849,71917084
Consumer,54027,6472042
Producer,53581,71931083
Consumer,83859,21301958
Producer,91947,71929667
Consumer,88964,3029208
Producer,97856,71920250
Consumer,95054,2920167
Producer,82376,71908458
Consumer,36561,2920209
Producer,68734,71943958
Consumer,79658,2954084
Producer,98638,71995167
Consumer,98676,3037584
Producer,1664,72023542
Consumer,10591,83
Producer,92792,72046958
Consumer,88951,21497916
Producer,99330,72048375
Consumer,62203,3076500
Producer,98270,72070209
Consumer,98621,3151458
Producer,49844,72110166
Consumer,61134,6567625
Consumer,64954,167
Producer,80880,72131417
Producer,35991,72126125
Consumer,41704,3218500
Consumer,48430,83
Producer,14526,72148208
Producer,19717,72136875
Consumer,19387,3231417
Producer,16046,72155042
Consumer,17959,209
Producer,92712,72220875
Consumer,52936,3060625
Producer,67810,72215583
Consumer,55144,3074750
Producer,68939,72242167
Consumer,92555,10633125
Consumer,22381,208
Producer,86041,72236166
Consumer,91606,3103166
Producer,85791,72193167
Consumer,78418,3069458
Producer,98841,72166583
Consumer,66830,2832583
Producer,11664,72132208
Consumer,98368,208
Producer,97392,72123084
Consumer,87339,21238834
Producer,65891,72155500
Consumer,62251,125
Producer,13138,72288667
Consumer,34112,0
Producer,74241,72348667
Consumer,54015,42
Producer,91857,72339375
Consumer,43017,2971292
Consumer,814,42
Producer,95498,72326292
Producer,32681,72306667
Consumer,91187,83
Consumer,61976,2991583
Producer,44356,72318791
Producer,86352,72306584
Consumer,96289,9942666
Consumer,9564,0
Consumer,62897,2988458
Producer,61201,72356334
Producer,53260,72339875
Producer,8591,72314084
Consumer,99144,14737375
Producer,27124,72349375
Consumer,46392,83
Producer,94451,72436916
Consumer,49239,2455167
Producer,75311,72427042
Consumer,27521,2481292
Producer,39978,72462166
Consumer,89110,2469166
Producer,87364,72446958
Consumer,53115,2450959
Producer,7788,72429750
Consumer,95818,167
Producer,91933,72420084
Consumer,49407,2437209
Producer,47395,72400167
Consumer,16871,167
Consumer,58588,2435375
Producer,66752,72391000
Producer,73140,72372833
Consumer,83669,208
Consumer,45079,2455834
Producer,94735,72398333
Producer,69347,72382750
Consumer,81369,2505667
Consumer,37335,2496542
Producer,45140,72415833
Consumer,34570,2526875
Producer,45846,72390209
Consumer,71907,2483041
Producer,48331,72446958
Consumer,90955,9846667
Producer,20176,72446667
Consumer,32831,42
Producer,3354,72702166
Consumer,2736,41
Producer,68753,73433917
Consumer,872,41
Producer,33451,73436333
Consumer,88738,6592667
Producer,8372,73437209
Consumer,18895,0
Producer,33436,73435042
Consumer,34064,0
Producer,30723,73440792
Consumer,33158,0
Producer,10962,73549792
Consumer,6327,0
Producer,4465,73720709
Consumer,2262,42
Producer,73281,73903417
Consumer,76114,13492542
Producer,25147,73905667
Consumer,11530,166
Producer,55138,74002709
Producer,74854,103931625
Producer,43011,103918458
Consumer,92552,33042458
Consumer,67984,33003125
Producer,88180,103714833
Producer,20868,103692500
Producer,17765,103671500
Consumer,94127,39265833
Producer,68440,103686792
Consumer,50048,32891708
Producer,47660,103679750
Consumer,98639,42640583
Producer,38047,103671083
Producer,33012,105037125
Producer,22232,105115875
Producer,62926,105156041
Producer,6222,104958459
Consumer,94199,48579125
Producer,64482,104482916
Producer,33167,104413917
Consumer,83480,37001458
Producer,67968,133688750
Consumer,83143,37011166
Producer,99469,133244791
Consumer,53294,40086750
Producer,49889,124913375
Consumer,41963,34278584
Consumer,48201,34270958
Producer,76275,121280416
Consumer,87244,43500917
Producer,90316,120968042
Consumer,30793,34121541
Consumer,37366,34059792
Producer,61007,117987000
Consumer,40984,34080208
Producer,40952,117749250
Consumer,5948,34060125
Consumer,17071,34070208
Consumer,76759,34073667
Producer,92532,108245792
Producer,13456,106652458
Consumer,17560,34138000
Consumer,80167,34126292
Producer,25119,106659542
Producer,7504,106638208
Consumer,62643,34158833
Producer,64925,106641625
Consumer,61429,34164625
Producer,53133,106626833
Consumer,54698,34166958
Producer,7352,106614500
Consumer,36868,34172084
Producer,52896,106566542
Consumer,32317,34184750
Producer,71086,105788750
Consumer,6988,34182500
Producer,52480,105676333
Consumer,33832,34189709
Producer,33558,105638458
Consumer,54043,34223916
Producer,73083,105633708
Consumer,86569,34260333
Producer,92210,105652417
Consumer,38796,34259541
Producer,20249,105539375
Consumer,57899,34293750
Producer,31883,105583250
Consumer,16974,34322750
Producer,21802,105283833
Consumer,56540,34332250
Producer,69625,105123875
Consumer,30835,34339375
Consumer,39964,103921125
Consumer,68015,103923709
Producer,81912,204547000
Producer,91103,204524458
Consumer,84968,103917750
Consumer,24821,103889375
Producer,66595,204315542
Consumer,22838,103948458
Consumer,72706,113563125
Producer,99060,203711959
Consumer,51030,103829292
Producer,76861,203726250
Consumer,80952,103830250
Producer,95214,203714292
Consumer,57931,103866625
Consumer,18400,104695792
Consumer,69602,104874542
Producer,81148,203298584
Consumer,73269,113772250
Consumer,59834,105768250
Producer,85203,199985000
Producer,72739,197262917
Consumer,86793,115084916
Producer,96735,190976041
Consumer,80357,105375666
Producer,95665,190219916
Consumer,70302,105383167
Producer,74751,187488875
Consumer,53179,104995250
Producer,60513,185555542
Consumer,99427,105054375
Producer,79677,182957333
Consumer,94611,149553792
Producer,81678,179525834
Consumer,73599,107866833
Producer,88877,176924208
Consumer,79778,127345167
Producer,85994,206204625
Consumer,66133,106431959
Consumer,86495,211842916
Producer,77783,305248833
