Type,Amount,WaitTimeNanos
Consumer,65187,375
Producer,87199,41600208
Producer,43287,41595334
Consumer,71753,84
Consumer,33021,84
Producer,94568,41635667
Producer,567,41625375
Producer,10180,41619125
Consumer,20773,334
Producer,3179,41619042
Consumer,5871,500
Consumer,91053,250
Producer,73700,41929459
Producer,10391,41913750
Producer,4109,41899584
Consumer,29431,84
Producer,32342,41888958
Producer,31103,41879375
Consumer,69646,42
Producer,28079,41967958
Producer,17111,41965750
Producer,20003,41961834
Consumer,78189,125
Producer,45757,42166209
Producer,5248,42157083
Consumer,51945,458
Producer,80119,42178500
Consumer,78704,333
Producer,90033,42198791
Consumer,10186,42
Producer,4370,42198875
Consumer,74356,125
Producer,74624,42233625
Consumer,93438,292
Producer,69773,42316792
Consumer,41696,458
Producer,52134,42336500
Consumer,23822,459
Consumer,39741,375
Consumer,3457,167
Consumer,10595,166
Producer,92992,42681375
Consumer,98500,208
Producer,52085,42744666
Consumer,33378,375
Producer,56353,42768958
Producer,2906,42757167
Consumer,71069,458
Producer,49152,42759250
Producer,20142,42753458
Consumer,15033,292
Consumer,20105,167
Producer,62049,43018625
Consumer,27675,42
Consumer,9543,209
Consumer,39615,667
Producer,58180,43147667
Producer,6678,43140417
Consumer,80303,208
Producer,22103,43199667
Producer,16276,43187417
Consumer,48321,458
Producer,97662,43225750
Consumer,93477,166
Producer,84612,43375708
Consumer,90816,166
Producer,66222,43443875
Consumer,50106,292
Consumer,58202,125
Producer,96778,43582291
Consumer,530,292
Consumer,74346,84
Producer,68318,43692041
Consumer,48631,458
Producer,81495,43718625
Consumer,57623,250
Producer,24745,43727875
Consumer,86340,291
Producer,87980,43752750
Producer,23829,43740167
Consumer,82849,292
Producer,36762,43711500
Consumer,57356,542
Producer,14063,43766959
Producer,71307,43874083
Consumer,7183,125
Consumer,49776,166
Producer,74086,43949667
Producer,12143,43941166
Consumer,48204,167
Producer,59048,44044125
Consumer,91564,209
Producer,86143,44059542
Consumer,79389,125
Producer,80850,44081000
Consumer,64951,166
Producer,27660,44085250
Consumer,82702,125
Producer,77197,44362250
Consumer,42747,42
Producer,64636,44389000
Consumer,10393,333
Consumer,66241,42
Producer,63568,44477583
Consumer,19042,167
Producer,59209,44486375
Consumer,48407,417
Consumer,54225,333
Producer,66337,44582625
Consumer,73096,250
Producer,48747,44744958
Consumer,60326,417
Producer,72788,44766708
Consumer,28983,250
Producer,67670,44782625
Consumer,38463,375
Producer,43403,44802000
Consumer,32496,291
Producer,43727,44899500
Consumer,68156,41
Producer,47673,44916208
Consumer,55567,83
Consumer,82475,84
Producer,83141,44955000
Producer,61228,44946209
Consumer,38660,125
Producer,48634,44931375
Consumer,49435,125
Consumer,76635,83
Producer,98860,45130167
Consumer,67227,333
Producer,12097,45145041
Producer,25272,45140875
Consumer,62004,375
Producer,31571,45136375
Producer,48211,45129459
Consumer,50638,125
Producer,70143,45284500
Consumer,37168,125
Producer,42875,45298125
Consumer,39090,125
Consumer,82282,83
Producer,84971,45555167
Producer,12979,45543584
Consumer,32070,83
Producer,68549,45534375
Consumer,69357,167
Producer,63891,45570416
Producer,4579,45563334
Consumer,89156,167
Producer,43473,45554291
Consumer,74499,375
Producer,98820,45789209
Producer,13441,45783875
Consumer,74031,375
Producer,84709,45833208
Consumer,20517,458
Producer,10544,45828209
Consumer,74309,291
Producer,66333,45822292
Consumer,40412,84
Consumer,61831,125
Producer,75073,45969625
Producer,11874,45957125
Consumer,10857,84
Consumer,36587,584
Consumer,13283,417
Producer,92014,46109917
Consumer,7239,83
Consumer,81476,41
Producer,21413,46210500
Producer,55713,46193125
Consumer,33367,83
Consumer,89064,417
Producer,69111,46233458
Producer,25647,46231333
Consumer,90207,292
Producer,24223,46218083
Producer,52610,46233708
Producer,34073,46221417
Consumer,1194,250
Consumer,12463,42
Consumer,53281,208
Producer,80342,46640667
Consumer,46644,209
Producer,58436,46671541
Consumer,49826,458
Producer,46844,46683583
Consumer,53436,459
Consumer,79631,375
Producer,65428,46824875
Producer,46917,46810708
Consumer,85468,83
Producer,77928,46796458
Consumer,84979,83
Producer,67985,46814458
Producer,24128,46800750
Consumer,49270,42
Producer,65219,46983166
Consumer,73684,125
Producer,30552,47005667
Consumer,91388,292
Producer,10158,47021750
Producer,68801,47008042
Consumer,29702,500
Producer,85205,47059708
Consumer,20985,500
Consumer,23050,583
Consumer,58569,625
Producer,53586,47245250
Producer,31008,47218208
Consumer,89061,167
Producer,97810,47201167
